german,article,plural,level,glosses,example_de,example_en
Verhalten,das,-,B2,Behavior,TBD,TBD
Durchgang,der,Durchgänge,A2,Passage,TBD,TBD
Sklave,der,Sklaven,B1,Slave,TBD,TBD
Leutnant,der,Leutnants,B1,Lieutenant,TBD,TBD
Fass,das,Fässer,A2,Barrel,TBD,TBD
Wärme,die,-,A2,Warmth,TBD,TBD
Eindruck,der,Eindrücke,B1,Impression,TBD,TBD
Maurer,der,Maurer,A2,Mason,TBD,TBD
Braut,die,Bräute,A1,Bride,TBD,TBD
Paket,das,Pakete,A2,Package,TBD,TBD
Nebel,der,-,A1,Fog,TBD,TBD
Gehen,das,-,A2,Walking,TBD,TBD
Gleichgewicht,das,-,B1,Balance,TBD,TBD
Socke,die,Socken,A1,Sock,TBD,TBD
Roboter,der,Roboter,A2,Robot,TBD,TBD
Kartoffel,die,Kartoffeln,A1,Potato,TBD,TBD
Gegenstand,der,Gegenstände,B1,Item,TBD,TBD
Bad,das,Bäder,A2,Bath,TBD,TBD
Diamant,der,Diamanten,A2,Diamond,TBD,TBD
Leiche,die,Leichen,B1,Corpse,TBD,TBD
Erklärung,die,Erklärungen,B2,Explanation,TBD,TBD
Struktur,die,Strukturen,B1,Structure,TBD,TBD
Ausgang,der,Ausgänge,A1,Exit,TBD,TBD
Kissen,das,Kissen,A1,Pad,TBD,TBD
Herd,der,Herde,A2,Stove,TBD,TBD
Blau,das,-,A2,Blue,TBD,TBD
Amerikaner,der,Amerikaner,A2,American,TBD,TBD
Rubin,der,Rubine,A2,Ruby,TBD,TBD
Blitz,das,Blitze,A1,Lightning,TBD,TBD
Grube,die,Gruben,A2,Pit,TBD,TBD
Oberst,der,Obersten,B1,Colonel,TBD,TBD
Hafen,der,Häfen,A1,Dock,TBD,TBD
Bach,der,Bäche,A1,Creek,TBD,TBD
Rat,der,Ratschläge,A2,Advice,TBD,TBD
Tourist,der,Touristen,A2,Tourist,TBD,TBD
Trauer,die,-,B1,Grief,TBD,TBD
Verteidigung,die,-,B2,Defense,TBD,TBD
Biss,der,Bisse,A2,Bite,TBD,TBD
Museum,das,Museen,A2,Museum,TBD,TBD
Gefallen,der,Gefallen,B1,Favor,TBD,TBD
Abendessen,das,-,A2,Supper,TBD,TBD
Komfort,der,-,B1,Comfort,TBD,TBD
Dekan,der,-,B1,Dean,TBD,TBD
Wert,der,Werte,A2,Value,TBD,TBD
Marsch,der,Märsche,B1,March,TBD,TBD
Anwesen,das,Anwesen,B1,Estate,TBD,TBD
Dichter,der,Dichter,B1,Poet,TBD,TBD
Palast,der,Paläste,A2,Palace,TBD,TBD
Suppe,die,Suppen,A1,Soup,TBD,TBD
Nation,die,Nationen,B1,Nation,TBD,TBD
Glas,das,Gläser,A1,Jar,TBD,TBD
Stand,der,-,A2,Standing,TBD,TBD
Sack,der,Säcke,A2,Sack,TBD,TBD
Dämon,der,Dämonen,A2,Demon,TBD,TBD
Konferenz,die,Konferenzen,B2,Conference,TBD,TBD
Saft,der,Säfte,A1,Juice,TBD,TBD
Verantwortung,die,-,B2,Responsibility,TBD,TBD
Bürste,die,Bürsten,A1,Brush,TBD,TBD
Route,die,Routen,A2,Route,TBD,TBD
Käse,der,Käse,A1,Cheese,TBD,TBD
Motorhaube,die,Motorhauben,B2,Hood,TBD,TBD
Ente,die,Enten,A1,Duck,TBD,TBD
Heilige,der,Heiligen,B1,Saint,TBD,TBD
Pass,der,Pässe,A2,Pass,TBD,TBD
Ziel,das,Ziele,A2,Target,TBD,TBD
Orange,die,Orangen,A1,Orange,TBD,TBD
Kultur,die,Kulturen,B2,Culture,TBD,TBD
Tour,die,Touren,A2,Tour,TBD,TBD
Kommandant,der,Kommandanten,B2,Commander,TBD,TBD
Haken,der,Haken,A2,Hook,TBD,TBD
Nebel,der,-,A1,Mist,TBD,TBD
Training,das,Trainings,B1,Training,TBD,TBD
Suche,die,Suchen,A2,Search,TBD,TBD
Münze,die,Münzen,A2,Coin,TBD,TBD
Wunder,das,Wunder,B1,Miracle,TBD,TBD
Vorteil,der,Vorteile,B1,Advantage,TBD,TBD
Austausch,der,Austausche,B1,Exchange,TBD,TBD
Fiktion,die,-,B1,Fiction,TBD,TBD
Teich,der,Teiche,A2,Pond,TBD,TBD
Assistent,der,Assistenten,B1,Assistant,TBD,TBD
Design,das,Designs,B1,Design,TBD,TBD
Angeln,das,-,A2,Fishing,TBD,TBD
Hang,der,Hänge,A2,Slope,TBD,TBD
Graf,der,Grafen,A2,Earl,TBD,TBD
Kommentar,der,Kommentare,B1,Comment,TBD,TBD
Kellner,der,Kellner,A1,Waiter,TBD,TBD
Lebensmittel,der,Lebensmittel,B1,Grocery,TBD,TBD
Leiter,die,Leitern,A2,Ladder,TBD,TBD
Kurve,die,Kurven,A2,Curve,TBD,TBD
Volumen,das,Volumina,B1,Volume,TBD,TBD
Risiko,das,Risiken,B1,Risk,TBD,TBD
Albtraum,der,Albträume,B1,Nightmare,TBD,TBD
Existenz,die,-,B1,Existence,TBD,TBD
Spur,die,Spuren,A2,Trace,TBD,TBD
Krankheit,die,Krankheiten,B1,Disease,TBD,TBD
Unterstützung,die,-,B2,Support,TBD,TBD
Zeuge,der,Zeugen,A2,Witness,TBD,TBD
Bestand,der,Bestände,B1,Stock,TBD,TBD
Gerät,das,Geräte,A2,Device,TBD,TBD
Landschaft,die,Landschaften,B2,Landscape,TBD,TBD
Feiertag,der,Feiertage,A2,Holiday,TBD,TBD
Ass,das,Asse,A2,Ace,TBD,TBD
Klavier,das,Klaviere,A2,Piano,TBD,TBD
Darm,der,-,A2,Gut,TBD,TBD
Talent,das,Talente,B1,Talent,TBD,TBD
Fantasie,die,-,B1,Imagination,TBD,TBD
Schwarz,das,-,A2,Black,TBD,TBD
Rohrkolben,der,Rohrkolben,B2,Reed,TBD,TBD
Deckel,der,Deckel,A2,Lid,TBD,TBD
Hinweis,der,Hinweise,B1,Hint,TBD,TBD
Spaziergänger,der,Spaziergänger,B1,Walker,TBD,TBD
Schaudern,das,-,B1,Chill,TBD,TBD
Prozess,der,Prozesse,B1,Trial,TBD,TBD
Interview,das,Interviews,B1,Interview,TBD,TBD
Ansatz,der,Ansätze,B1,Approach,TBD,TBD
Narbe,die,Narben,A1,Scar,TBD,TBD
Mode,die,-,A2,Fashion,TBD,TBD
Kanal,der,Kanäle,A2,Channel,TBD,TBD
Fußabdruck,der,Fußabdrücke,A2,Footstep,TBD,TBD
Pick-up,der,Pick-ups,A2,Pickup,TBD,TBD
Habicht,der,Habichte,B1,Hawk,TBD,TBD
Anhänger,der,Anhänger,A2,Trailer,TBD,TBD
Statue,die,Statuen,A2,Statue,TBD,TBD
Pille,die,Pillen,A2,Pill,TBD,TBD
Käfer,der,Käfer,A1,Bug,TBD,TBD
Eimer,der,Eimer,A1,Bucket,TBD,TBD
Urlaub,der,Urlaube,A2,Vacation,TBD,TBD
Art,die,Arten,A2,Species,TBD,TBD
Säule,die,Säulen,A2,Column,TBD,TBD
Schaden,der,-,B1,Damage,TBD,TBD
Instrument,das,Instrumente,B2,Instrument,TBD,TBD
Hafen,der,Häfen,A1,Port,TBD,TBD
Schicht,die,Schichten,B1,Layer,TBD,TBD
Streifen,der,Streifen,A2,Strip,TBD,TBD
Müll,der,-,A1,Garbage,TBD,TBD
Rippe,die,Rippen,A1,Rib,TBD,TBD
Notizbuch,das,Notizbücher,A2,Notebook,TBD,TBD
Mais,der,-,A1,Corn,TBD,TBD
Angebot,das,Angebote,B1,Offer,TBD,TBD
Zeichnung,die,Zeichnungen,A2,Drawing,TBD,TBD
Aussage,die,Aussagen,B1,Statement,TBD,TBD
Intelligenz,die,-,B2,Intelligence,TBD,TBD
Entschuldigung,die,Entschuldigungen,A2,Excuse,TBD,TBD
Landung,die,Landungen,A2,Landing,TBD,TBD
Urheberrecht,das,-,B2,Copyright,TBD,TBD
Stange,die,Stangen,A2,Rod,TBD,TBD
Fantasie,die,Fantasien,B1,Fantasy,TBD,TBD
Neugierde,die,-,B1,Curiosity,TBD,TBD
Gewand,das,Gewänder,B2,Gown,TBD,TBD
Grenze,die,Grenzen,B1,Border,TBD,TBD
Poesie,die,-,B2,Poetry,TBD,TBD
Firma,die,Firmen,A2,Firm,TBD,TBD
Anstieg,der,Anstiege,B1,Rise,TBD,TBD
Handvoll,die,Handvoll,B1,Handful,TBD,TBD
Porzellan,das,-,A2,China,TBD,TBD
Franzose,der,Franzosen,A2,French,TBD,TBD
Durchschnitt,der,Durchschnitte,B2,Mean,TBD,TBD
Reh,das,Rehe,A1,Deer,TBD,TBD
Druck,der,Drucke,A2,Print,TBD,TBD
Schiene,die,Schienen,A2,Rail,TBD,TBD
Tarif,der,Tarife,A2,Rate,TBD,TBD
Mut,der,-,A2,Courage,TBD,TBD
Ankunft,die,Ankünfte,A2,Arrival,TBD,TBD
Wunsch,der,Wünsche,B1,Wish,TBD,TBD
Bergrücken,der,Bergrücken,B2,Ridge,TBD,TBD
Idiot,der,Idioten,A2,Idiot,TBD,TBD
Stier,der,Stiere,A2,Bull,TBD,TBD
Samen,der,Samen,A2,Seed,TBD,TBD
Fortschritt,der,-,B2,Progress,TBD,TBD
Gefühl,das,Gefühle,B1,Feel,TBD,TBD
kurze Hose,die,kurzen Hosen,A2,Shorts,TBD,TBD
Bürger,der,Bürger,B1,Citizen,TBD,TBD
Müll,der,-,A2,Trash,TBD,TBD
Baumstamm,der,Baumstämme,A2,Log,TBD,TBD
Geduld,die,-,B1,Patience,TBD,TBD
Fledermaus,die,Fledermäuse,A2,Bat,TBD,TBD
Fußball,der,Fußbälle,A2,Football,TBD,TBD
Routine,die,Routinen,B1,Routine,TBD,TBD
Explosion,die,Explosionen,B2,Explosion,TBD,TBD
Inhalt,der,Inhalte,B1,Content,TBD,TBD
Wissenschaftler,der,Wissenschaftler,B2,Scientist,TBD,TBD
Versagen,das,-,B1,Failure,TBD,TBD
Sünde,die,Sünden,A2,Sin,TBD,TBD
Hintern,der,Hintern,A2,Butt,TBD,TBD
Verwirrung,die,-,B1,Confusion,TBD,TBD
Verständnis,das,-,B1,Understanding,TBD,TBD
Handel,der,-,B1,Trade,TBD,TBD
Kühlschrank,der,Kühlschränke,A2,Refrigerator,TBD,TBD
Herr,der,Herren,A1,Mister,TBD,TBD
Taschenlampe,die,Taschenlampen,A2,Flashlight,TBD,TBD
Netz,das,Netze,A2,Net,TBD,TBD
Matrose,der,Matrosen,A2,Sailor,TBD,TBD
Einstellung,die,Einstellungen,B2,Attitude,TBD,TBD
Schuld,die,-,B1,Guilt,TBD,TBD
Weinen,das,-,A2,Crying,TBD,TBD
Schluck,der,Schlucke,A2,Sip,TBD,TBD
Reisen,das,Reisen,A2,Travel,TBD,TBD
Keks,der,Kekse,A2,Cookie,TBD,TBD
Flucht,die,Fluchten,B1,Escape,TBD,TBD
Anweisung,die,Anweisungen,B2,Instruction,TBD,TBD
Stoff,der,Stoffe,A2,Fabric,TBD,TBD
Marmor,der,Marmore,B2,Marble,TBD,TBD
Blick,der,Blicke,A2,Glimpse,TBD,TBD
Dämmerung,die,-,B2,Dusk,TBD,TBD
Hütte,die,Hütten,A2,Cottage,TBD,TBD
Affe,der,Affen,A1,Monkey,TBD,TBD
Make up,das,-,A2,Makeup,TBD,TBD
Arzt,der,Ärzte,A2,Doc,TBD,TBD
Bluse,die,Blusen,A2,Blouse,TBD,TBD
Rhythmus,der,Rhythmen,B1,Rhythm,TBD,TBD
Dampf,der,-,A2,Steam,TBD,TBD
Phrase,die,Phrasen,B1,Phrase,TBD,TBD
Mutter,die,Muttern,A1,Nut,TBD,TBD
Bleistift,der,Bleistifte,A2,Pencil,TBD,TBD
Koch,der,Köche,A2,Cook,TBD,TBD
Flagge,die,Flaggen,A2,Flag,TBD,TBD
Trainer,der,Trainer,A2,Coach,TBD,TBD
Schwung,der,Schwünge,B1,Swing,TBD,TBD
Lautsprecher,der,Lautsprecher,B2,Speaker,TBD,TBD
Bolzen,der,Bolzen,B1,Bolt,TBD,TBD
Fett,das,Fette,A2,Fat,TBD,TBD
Teppich,der,Teppiche,A2,Rug,TBD,TBD
Klopfen,das,-,A2,Knock,TBD,TBD
Zauber,der,Zauber,B1,Spell,TBD,TBD
Taxi,das,Taxis,A2,Taxi,TBD,TBD
Runde,die,Runden,A2,Round,TBD,TBD
Strohhalm,der,Strohhalme,A2,Straw,TBD,TBD
Luke,die,Luken,A2,Hatch,TBD,TBD
Gabel,die,Gabeln,A2,Fork,TBD,TBD
Böse,das,-,B1,Evil,TBD,TBD
Dienstmädchen,die,-,B1,Maid,TBD,TBD
Verwandte,der,Verwandten,A2,Relative,TBD,TBD
Hexe,die,Hexen,A2,Witch,TBD,TBD
Innenhof,der,Innenhöfe,A2,Courtyard,TBD,TBD
Sensation,die,Sensationen,B2,Sensation,TBD,TBD
Blase,die,Blasen,A2,Bubble,TBD,TBD
Leser,der,Leser,A2,Reader,TBD,TBD
Locke,die,Locken,A2,Curl,TBD,TBD
Kuchen,der,Kuchen,A2,Pie,TBD,TBD
Düsenflugzeug,das,Düsenflugzeuge,B2,Jet,TBD,TBD
Schicht,die,Schichten,B1,Shift,TBD,TBD
Union,die,Unionen,B2,Union,TBD,TBD
Teenager,der,Teenager,A2,Teenager,TBD,TBD
Ebene,die,Ebenen,A2,Plain,TBD,TBD
Kellnerin,die,Kellnerinnen,A2,Waitress,TBD,TBD
Antwort,die,Antworten,A2,Reply,TBD,TBD
Gerücht,das,Gerüchte,B1,Rumor,TBD,TBD
Schwerkraft,die,-,B2,Gravity,TBD,TBD
Schutz,das,Schutz,A2,Shelter,TBD,TBD
Abenteuer,das,Abenteuer,A2,Adventure,TBD,TBD
Löwe,der,Löwen,A1,Lion,TBD,TBD
Wirbelsäule,die,Wirbelsäulen,B2,Spine,TBD,TBD
Vertrauen,das,Vertrauen,B1,Confidence,TBD,TBD
Tiefe,die,Tiefen,A2,Depth,TBD,TBD
Reichweite,die,Reichweiten,B2,Reach,TBD,TBD
Hammer,der,Hämmer,A2,Hammer,TBD,TBD
Bibel,die,Bibeln,A2,Bible,TBD,TBD
Vertrag,der,Verträge,B1,Contract,TBD,TBD
Brieftasche,die,Brieftaschen,A2,Wallet,TBD,TBD
Dschungel,der,Dschungel,A2,Jungle,TBD,TBD
Fabrik,die,Fabriken,B1,Factory,TBD,TBD
Indianer,der,Indianer,B1,Indian,TBD,TBD
Balkon,der,Balkone,A2,Balcony,TBD,TBD
Reis,der,-,A1,Rice,TBD,TBD
Knoten,der,Knoten,A2,Knot,TBD,TBD
Kabel,das,Kabel,A2,Cord,TBD,TBD
Kollege,der,Kollegen,B1,Colleague,TBD,TBD
Absicht,die,Absichten,B1,Intention,TBD,TBD
Motel,das,Motels,A2,Motel,TBD,TBD
Anwalt,der,Anwälte,B1,Attorney,TBD,TBD
Liebling,der,Lieblinge,A2,Darling,TBD,TBD
Diskussion,die,Diskussionen,B2,Discussion,TBD,TBD
Atmosphäre,die,Atmosphären,B2,Atmosphere,TBD,TBD
Aufführung,die,Aufführungen,B2,Performance,TBD,TBD
Spannung,die,Spannungen,B1,Tension,TBD,TBD
Text,der,Texte,A2,Text,TBD,TBD
Strand,der,Strände,A1,Strand,TBD,TBD
Mittag,der,-,A1,Noon,TBD,TBD
Ader,die,Adern,A2,Vein,TBD,TBD
Experte,der,Experten,B1,Expert,TBD,TBD
Bande,die,Banden,A2,Gang,TBD,TBD
Polizist,der,Polizisten,A2,Policeman,TBD,TBD
Krebs,der,-,B1,Cancer,TBD,TBD
Fuchs,der,Füchse,A1,Fox,TBD,TBD
Scheidung,die,Scheidungen,B2,Divorce,TBD,TBD
Puls,der,Pulse,A2,Pulse,TBD,TBD
Abwesenheit,die,-,C1,Absence,TBD,TBD
Gewalt,die,-,B1,Violence,TBD,TBD
Humor,der,-,B1,Humor,TBD,TBD
Hocker,der,Hocker,A2,Stool,TBD,TBD
Kies,der,-,A2,Gravel,TBD,TBD
Schatz,der,Schätze,B1,Treasure,TBD,TBD
Butter,die,-,A1,Butter,TBD,TBD
Schalter,der,Schalter,A2,Switch,TBD,TBD
Zigarre,die,Zigarren,A2,Cigar,TBD,TBD
Leinwand,die,Leinwände,B2,Canvas,TBD,TBD
Glück,das,-,B1,Happiness,TBD,TBD
Führer,der,Führer,B1,Guide,TBD,TBD
Stecknadel,die,Stecknadeln,A2,Pin,TBD,TBD
Schauspieler,der,Schauspieler,B1,Actor,TBD,TBD
Ganze,das,-,B1,Whole,TBD,TBD
Anordnung,die,Anordnungen,B2,Arrangement,TBD,TBD
Braun,das,-,A2,Brown,TBD,TBD
Gastgeber,der,Gastgeber,B1,Host,TBD,TBD
Band,das,Bänder,A2,Ribbon,TBD,TBD
Schal,der,Schals,A2,Scarf,TBD,TBD
Skala,die,Skalen,A2,Scale,TBD,TBD
Beweis,der,Beweise,B1,Proof,TBD,TBD
Pfeil,der,Pfeile,A2,Arrow,TBD,TBD
Temperatur,die,Temperaturen,B2,Temperature,TBD,TBD
Technologie,die,Technologien,B2,Technology,TBD,TBD
Erlaubnis,die,Erlaubnisse,B1,Permission,TBD,TBD
Standort,der,Standorte,B2,Location,TBD,TBD
Klaue,die,Klauen,A2,Claw,TBD,TBD
Cowboy,der,Cowboys,A2,Cowboy,TBD,TBD
Agentur,die,Agenturen,B2,Agency,TBD,TBD
Bau,der,-,A2,Construction,TBD,TBD
Jagd,die,-,A2,Hunting,TBD,TBD
Gemüse,das,Gemüse,A2,Vegetable,TBD,TBD
Konservendose,die,Konservendosen,B1,Tin,TBD,TBD
Hubschrauber,der,Hubschrauber,B2,Helicopter,TBD,TBD
Falle,die,Fallen,A2,Trap,TBD,TBD
Schlag,der,-,A2,Pat,TBD,TBD
Lücke,die,Lücken,A2,Gap,TBD,TBD
Haustier,das,Haustiere,A2,Pet,TBD,TBD
Bildung,das,-,B1,Education,TBD,TBD
Einkauf,die,Einkäufe,A2,Shopping,TBD,TBD
Schuppen,der,Schuppen,A2,Shed,TBD,TBD
Vereinbarung,die,Vereinbarungen,B2,Agreement,TBD,TBD
Boden,der,-,A2,Soil,TBD,TBD
Herzog,der,Herzöge,B1,Duke,TBD,TBD
Schrotflinte,das,Schrotflinten,B2,Shotgun,TBD,TBD
Idee,die,Ideen,B1,Notion,TBD,TBD
Heck,das,-,A2,Rear,TBD,TBD
Zeremonie,die,Zeremonien,B2,Ceremony,TBD,TBD
Löffel,der,Löffel,A1,Spoon,TBD,TBD
Badewanne,die,Badewannen,A2,Tub,TBD,TBD
Hinweis,der,Hinweise,B1,Clue,TBD,TBD
Iris,die,Irisse,A2,Iris,TBD,TBD
Vorfall,der,Vorfälle,B1,Incident,TBD,TBD
Zusammenstoß,der,Zusammenstöße,B2,Crash,TBD,TBD
Journal,das,Journale,B1,Journal,TBD,TBD
Zugriff,der,-,B2,Access,TBD,TBD
Messing,das,-,B2,Brass,TBD,TBD
Mama,die,Mamas,A1,Mommy,TBD,TBD
Sidebar,die,Sidebars,B2,Sidebar,TBD,TBD
Schaf,das,Schafe,A1,Sheep,TBD,TBD
Ingenieur,der,Ingenieure,B2,Engineer,TBD,TBD
Rumpf,der,Rümpfe,A2,Hull,TBD,TBD
Geruch,der,Gerüche,A2,Odor,TBD,TBD
Termin,die,Termine,A2,Appointment,TBD,TBD
Einladung,die,Einladungen,B2,Invitation,TBD,TBD
Lumpen,das,Lumpen,A2,Rag,TBD,TBD
Gute,das,-,A2,Good,TBD,TBD
Typ,der,Typen,A2,Dude,TBD,TBD
Behandlung,die,Behandlungen,B2,Treatment,TBD,TBD
Weisheit,die,-,B1,Wisdom,TBD,TBD
Preis,der,Preise,A2,Prize,TBD,TBD
Element,das,Elemente,B1,Element,TBD,TBD
Riese,der,Riesen,A1,Giant,TBD,TBD
Serviette,die,Servietten,A2,Napkin,TBD,TBD
Wäsche,die,-,A2,Laundry,TBD,TBD
Option,die,Optionen,B1,Option,TBD,TBD
Regal,das,Regale,A2,Rack,TBD,TBD
Anfrage,die,Anfragen,B1,Request,TBD,TBD
Gefängnis,das,Gefängnisse,B1,Jail,TBD,TBD
Opa,der,Opas,A1,Grandpa,TBD,TBD
Ranch,die,Ranches,A2,Ranch,TBD,TBD
Punkt,der,Punkte,A2,Dot,TBD,TBD
Skript,das,Skripte,B1,Script,TBD,TBD
Einkaufszentrum,das,Einkaufszentren,B2,Mall,TBD,TBD
Furt,die,Furten,A2,Ford,TBD,TBD
Übung,die,Übungen,A2,Exercise,TBD,TBD
Witwe,die,Witwen,A2,Widow,TBD,TBD
Krähe,die,Krähen,A1,Crow,TBD,TBD
Faden,der,Fäden,A2,Thread,TBD,TBD
Selbstmord,der,Selbstmorde,B2,Suicide,TBD,TBD
Hinweis,das,Hinweise,B1,Notice,TBD,TBD
Sonnenuntergang,der,Sonnenuntergänge,A2,Sunset,TBD,TBD
Galerie,die,Galerien,B1,Gallery,TBD,TBD
Gefäß,das,Gefäße,A2,Vessel,TBD,TBD
Donner,der,-,A2,Thunder,TBD,TBD
Seife,die,Seifen,A1,Soap,TBD,TBD
Whisky,der,-,A2,Whiskey,TBD,TBD
Frau,die,Frauen,A1,Female,TBD,TBD
Bürgermeister,der,Bürgermeister,B2,Mayor,TBD,TBD
Schlaganfall,der,Schlaganfälle,B2,Stroke,TBD,TBD
Klick,der,Klicks,A2,Click,TBD,TBD
Ruf,der,Rufe,B1,Reputation,TBD,TBD
Müller,der,Müller,B1,Miller,TBD,TBD
Rat,der,Räte,B1,Council,TBD,TBD
Zeitplan,der,Zeitpläne,B1,Schedule,TBD,TBD
Friedhof,der,Friedhöfe,B1,Cemetery,TBD,TBD
Kampf,der,Kämpfe,B1,Struggle,TBD,TBD
Instinkt,der,Instinkte,B1,Instinct,TBD,TBD
Ruhe,die,-,A2,Calm,TBD,TBD
Mitarbeiter,der,Mitarbeiter,B2,Employee,TBD,TBD
Nest,das,Nester,A2,Nest,TBD,TBD
Grenze,die,Grenzen,B1,Limit,TBD,TBD
Deutsche,der,Deutschen,B1,German,TBD,TBD
Mönch,der,Mönche,A2,Monk,TBD,TBD
Wurm,der,Würmer,A1,Worm,TBD,TBD
Dokument,das,Dokumente,B1,Document,TBD,TBD
Trauer,die,-,B1,Sadness,TBD,TBD
Hut,der,Hüte,A1,Hut,TBD,TBD
Leben,das,Leben,A1,Lifetime,TBD,TBD
Tänzer,der,Tänzer,A2,Dancer,TBD,TBD
Versicherung,die,Versicherungen,B2,Insurance,TBD,TBD
Schwierigkeit,die,Schwierigkeiten,B1,Difficulty,TBD,TBD
Matratze,die,Matratzen,A2,Mattress,TBD,TBD
Mann,der,Männer,A1,Male,TBD,TBD
Klinik,die,Kliniken,B1,Clinic,TBD,TBD
Anzeige,die,Anzeigen,B1,Ad,TBD,TBD
Becher,der,Becher,A2,Mug,TBD,TBD
Set,das,Sets,A2,Kit,TBD,TBD
Kommunikation,die,Kommunikationen,B2,Communication,TBD,TBD
Katastrophe,die,Katastrophen,B2,Disaster,TBD,TBD
Fliese,die,Fliesen,A2,Tile,TBD,TBD
Empfänger,der,Empfänger,B2,Receiver,TBD,TBD
Gebrüll,das,-,B1,Roar,TBD,TBD
Truppe,die,Truppen,B1,Troop,TBD,TBD
Sarg,der,Särge,A2,Coffin,TBD,TBD
Freundschaft,die,Freundschaften,B1,Friendship,TBD,TBD
Untersuchung,die,Untersuchungen,B2,Investigation,TBD,TBD
Verkauf,der,Verkäufe,A2,Sale,TBD,TBD
Tor,das,Tore,A2,Goal,TBD,TBD
Krankenwagen,der,Krankenwagen,B2,Ambulance,TBD,TBD
Mondschein,das,-,B2,Moonlight,TBD,TBD
Station,die,Stationen,B2,Ward,TBD,TBD
Hose,die,Hosen,A2,Trousers,TBD,TBD
Wolle,die,-,A2,Wool,TBD,TBD
Regenmantel,der,Regenmäntel,A2,Mac,TBD,TBD
Minister,der,Minister,B2,Minister,TBD,TBD
Eintrag,der,Einträge,B1,Entry,TBD,TBD
Dieb,der,Diebe,A2,Thief,TBD,TBD
Aktenkoffer,der,Aktentaschen,B2,Briefcase,TBD,TBD
Mitleid,das,-,B1,Pity,TBD,TBD
Fingerspitze,die,Fingerspitzen,A2,Fingertip,TBD,TBD
Marine,die,Marinen,B2,Navy,TBD,TBD
Insekt,das,Insekten,A2,Insect,TBD,TBD
Samt,der,-,A2,Velvet,TBD,TBD
Biene,die,Bienen,A1,Bee,TBD,TBD
Stock,der,Stöcke,A2,Cane,TBD,TBD
Gen,das,Gene,B2,Gene,TBD,TBD
Salat,der,Salate,A2,Salad,TBD,TBD
Windschutzscheibe,die,Windschutzscheiben,B2,Windshield,TBD,TBD
Outfit,das,Outfits,A2,Outfit,TBD,TBD
Shuttle,das,Shuttle,B1,Shuttle,TBD,TBD
Schrei,der,Schreie,A2,Shout,TBD,TBD
Wut,die,-,B1,Fury,TBD,TBD
Herausforderung,die,Herausforderungen,B2,Challenge,TBD,TBD
Zufriedenheit,die,-,C1,Satisfaction,TBD,TBD
Motor,der,Motoren,A2,Motor,TBD,TBD
Produkt,das,Produkte,B2,Product,TBD,TBD
Unkraut,das,-,A2,Weed,TBD,TBD
Stretch,der,-,B1,Stretch,TBD,TBD
Fitnessstudio,das,Fitnessstudios,B2,Gym,TBD,TBD
Hauptstadt,die,Hauptstädte,B2,Capital,TBD,TBD
Rand,der,Ränder,A2,Rim,TBD,TBD
Pfote,die,Pfoten,A2,Paw,TBD,TBD
Fort,das,Forts,A2,Fort,TBD,TBD
Kosten,die,-,B1,Cost,TBD,TBD
Poster,das,Poster,A2,Poster,TBD,TBD
Vampir,der,Vampire,A2,Vampire,TBD,TBD
Schaft,der,Schäfte,A2,Shaft,TBD,TBD
Identität,die,Identitäten,B2,Identity,TBD,TBD
Gehweg,der,Gehwege,A1,Pavement,TBD,TBD
Arschloch,das,Arschlöcher,B2,Asshole,TBD,TBD
Band,das,Bänder,A2,Strap,TBD,TBD
Salon,der,Salons,A2,Parlor,TBD,TBD
Hafen,der,Häfen,A1,Harbor,TBD,TBD
Beispiel,das,Beispiele,B1,Example,TBD,TBD
Netz,das,Netze,A2,Web,TBD,TBD
Golf,der,(usually uncountable),A2,Golf,TBD,TBD
Mist,der,(usually uncountable),A2,Crap,TBD,TBD
Freude,die,(usually uncountable),B1,Delight,TBD,TBD
Steppdecke,die,Steppdecken,A2,Quilt,TBD,TBD
Steuer,die,Steuern,B2,Tax,TBD,TBD
Falte,die,Falten,A2,Fold,TBD,TBD
Porträt,das,Porträts,B1,Portrait,TBD,TBD
Gewebe,das,Gewebe,B1,Tissue,TBD,TBD
Glaube,der,Glauben,B1,Belief,TBD,TBD
Kostüm,das,Kostüme,A2,Costume,TBD,TBD
Maß,das,Maße,A2,Measure,TBD,TBD
Kutsche,die,Kutschen,A2,Carriage,TBD,TBD
Gitarre,die,Gitarren,A2,Guitar,TBD,TBD
Ritter,der,Ritter,A2,Knight,TBD,TBD
Rang,der,Ränge,A2,Rank,TBD,TBD
Major,der,Majore,B1,Major,TBD,TBD
Brunnen,der,Brunnen,A2,Fountain,TBD,TBD
Stall,der,Ställe,A2,Stall,TBD,TBD
Ladung,die,Ladungen,B1,Load,TBD,TBD
Funke,der,Funken,A2,Spark,TBD,TBD
Abfall,der,(usually uncountable),B1,Waste,TBD,TBD
Champagner,der,(usually uncountable),B2,Champagne,TBD,TBD
Bezirk,der,Bezirke,B2,District,TBD,TBD
Schutz,der,(usually uncountable),B1,Protection,TBD,TBD
Urteil,das,Urteile,B1,Judgment,TBD,TBD
Mitgefühl,das,(usually uncountable),B2,Sympathy,TBD,TBD
Veilchen,das,Veilchen,A2,Violet,TBD,TBD
Aufprall,der,Aufprälle,B1,Impact,TBD,TBD
Enttäuschung,die,Enttäuschungen,B2,Disappointment,TBD,TBD
Trinken,das,(usually uncountable),A2,Drinking,TBD,TBD
